elapsed_s,tick,event,wp_idx,wp_total,wp_target_x,wp_target_y,pos_x,pos_y,heading_deg,v_linear,v_angular,dist_to_wp,desired_hdg,hdg_error,steer_deg,steer_pw,cmd_speed,rpm_l,rpm_r,enc_l,enc_r,duty_l,duty_r,gyro_z,accel_x,accel_y,mag_x,mag_y,compass_deg,laser_mm,temp_c,batt_adc,stuck_count,moved_cm,note
2.179,45,NAV,9,18,0.0236,-0.5553,-0.0529,-0.9868,-5.3,0.2946,1.2494,0.4382,79.9,85.3,35.0,2150,40,156.8,0.0,18754,1,60.0,60.0,86.75,0.032,0.063,-0,0,355.1,-1,21.0,944.4,0,0.00,applied=51 spinning=True
2.238,46,NAV,9,18,0.0236,-0.5553,-0.0308,-0.9892,-4.8,0.3067,1.2221,0.4372,82.8,87.6,35.0,2150,40,156.8,0.0,18754,1,60.0,60.0,86.75,0.032,0.063,-0,0,355.1,-1,21.0,944.4,0,0.00,applied=48 spinning=True
2.297,47,NAV,9,18,0.0236,-0.5553,-0.0185,-0.9896,5.7,0.3296,1.3535,0.4363,84.5,78.8,35.0,2150,40,172.9,0.0,18895,1,54.0,54.0,93.80,0.010,0.000,0,0,6.0,426,21.0,944.2,0,0.00,applied=45 spinning=True
2.631,53,NAV,9,18,0.0236,-0.5553,0.0816,-0.9644,31.7,0.3673,1.3841,0.4131,98.1,66.4,35.0,2150,40,187.6,0.0,19178,1,42.0,42.0,95.79,0.000,0.012,0,0,31.6,602,21.0,957.0,0,0.00,applied=40 spinning=True
3.227,63,WP_LOOKAHEAD_SKIP,9,18,0.0236,-0.5553,0.1672,-0.7994,105.4,0.3321,1.2177,0.2831,0.0,0.0,0.0,1440,0,165.0,0.0,19767,1,40.0,40.0,81.13,-0.120,0.062,0,-0,105.9,-1,21.2,960.5,0,0.00,nav_skip_9_to_13
3.228,63,WP_START,14,18,0.4354,-0.6368,0.1672,-0.7994,105.4,0.3321,1.2177,0.3137,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,arrive_tol=0.200 final=False
3.228,64,NAV,14,18,0.4354,-0.6368,0.1672,-0.7994,105.4,0.3321,1.2177,0.3137,31.2,-74.2,-35.0,940,40,165.0,0.0,19767,1,40.0,40.0,81.13,-0.120,0.062,0,-0,105.9,-1,21.2,960.5,0,0.00,applied=50 spinning=True
3.290,65,NAV,14,18,0.4354,-0.6368,0.1608,-0.7765,105.9,0.3247,0.4282,0.3081,27.0,-78.9,-35.0,940,40,165.0,0.0,19767,1,40.0,40.0,81.13,-0.120,0.062,0,-0,105.9,-1,21.2,960.5,0,0.00,applied=47 spinning=True
3.357,66,NAV,14,18,0.4354,-0.6368,0.1562,-0.7623,113.5,0.3199,0.4348,0.3062,24.2,-89.3,-35.0,940,40,161.9,0.0,19886,1,46.0,46.0,78.79,0.003,0.040,0,-0,113.8,-1,21.0,962.5,0,0.00,applied=44 spinning=True
3.407,67,NAV,14,18,0.4354,-0.6368,0.1515,-0.7514,113.8,0.3185,0.4129,0.3062,22.0,-91.9,-35.0,940,40,161.9,0.0,19886,1,46.0,46.0,78.79,0.003,0.040,0,-0,113.8,-1,21.0,962.5,0,0.00,applied=41 spinning=True
3.468,68,NAV,14,18,0.4354,-0.6368,0.1413,-0.7306,126.9,0.3138,0.4468,0.3087,17.7,-109.2,-35.0,940,40,158.9,0.0,20002,1,47.0,47.0,78.69,0.006,0.001,0,-0,127.5,-1,21.0,912.2,0,0.00,applied=40 spinning=True
3.575,70,WP_BEHIND_SKIP,14,18,0.4354,-0.6368,0.1203,-0.7034,133.9,0.3100,0.2600,0.3222,11.9,-121.9,0.0,1440,0,157.4,0.0,20116,1,41.0,41.0,61.02,-0.102,0.008,0,-0,134.1,-1,21.0,932.0,0,0.00,hdg_err=-122_skip
3.581,70,WP_TIMEOUT,14,18,0.4354,-0.6368,0.1203,-0.7034,133.9,0.3100,0.2600,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,max_ticks=600 stuck=0
3.590,70,WP_START,15,18,0.6003,-0.3756,0.1203,-0.7034,133.9,0.3100,0.2600,0.5813,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,arrive_tol=0.200 final=False
3.591,71,NAV,15,18,0.6003,-0.3756,0.1203,-0.7034,133.9,0.3100,0.2600,0.5813,34.3,-99.5,-35.0,940,40,157.4,0.0,20116,1,41.0,41.0,61.02,-0.102,0.008,0,-0,134.1,-1,21.0,932.0,0,0.00,applied=40 spinning=True
3.642,72,NAV,15,18,0.6003,-0.3756,0.1120,-0.6949,134.1,0.3093,0.2461,0.5834,33.2,-101.0,-35.0,940,40,157.4,0.0,20116,1,41.0,41.0,61.02,-0.102,0.008,0,-0,134.1,-1,21.0,932.0,0,0.00,applied=40 spinning=True
3.701,73,NAV,15,18,0.6003,-0.3756,0.0964,-0.6786,134.2,0.3091,0.2455,0.5880,31.0,-103.1,-35.0,940,40,157.4,0.0,20116,1,41.0,41.0,61.02,-0.102,0.008,0,-0,134.1,-1,21.0,932.0,0,0.00,applied=40 spinning=True
3.764,74,NAV,15,18,0.6003,-0.3756,0.0881,-0.6706,137.8,0.2967,-0.3969,0.5911,29.9,-107.9,-35.0,940,40,148.4,0.0,20216,1,40.0,40.0,-6.47,0.506,0.016,0,-0,138.0,-1,21.0,940.0,0,0.00,applied=40 spinning=True
3.833,75,NAV,15,18,0.6003,-0.3756,0.0723,-0.6565,138.0,0.2919,-0.4048,0.5981,28.0,-110.0,-35.0,940,40,148.4,0.0,20216,1,40.0,40.0,-6.47,0.506,0.016,0,-0,138.0,-1,21.0,940.0,0,0.00,applied=40 spinning=True
4.172,81,NAV,15,18,0.6003,-0.3756,0.0344,-0.6024,108.7,0.1929,-0.9442,0.6097,21.8,-86.9,-35.0,940,40,97.7,0.0,20407,1,40.0,40.0,-72.26,0.383,0.165,0,-0,108.8,-1,21.0,945.4,0,0.00,applied=40 spinning=True
4.724,91,NAV,15,18,0.6003,-0.3756,0.0380,-0.5169,63.9,0.1525,-0.8712,0.5798,14.1,-49.8,-35.0,940,40,77.6,0.0,20613,1,40.0,40.0,-69.70,-0.779,-0.186,0,-0,64.0,-1,21.0,945.6,0,0.00,applied=40 spinning=True
5.270,101,NAV,15,18,0.6003,-0.3756,0.0915,-0.4729,22.4,0.1394,-0.7067,0.5180,10.8,-11.6,-20.9,1091,50,71.0,0.0,20827,1,46.0,46.0,-60.38,-0.249,0.250,0,0,22.5,531,21.0,949.8,0,0.00,applied=50 spinning=True
5.820,111,OBSTACLE_START,15,18,0.6003,-0.3756,0.1652,-0.4708,-9.7,0.1753,0.2107,0.0000,0.0,0.0,0.0,1440,0,90.9,0.0,21139,1,50.0,50.0,0.37,0.047,0.005,-0,0,350.2,75,21.6,914.4,0,0.00,laser=75mm < 200mm
15.866,111,OBSTACLE_TIMEOUT,15,18,0.6003,-0.3756,0.2330,-0.4807,-8.1,-0.0000,0.0006,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,10s_timeout
15.876,111,NAV,15,18,0.6003,-0.3756,0.2330,-0.4807,-8.1,-0.0000,0.0006,0.3821,16.0,24.1,35.0,2150,50,90.9,0.0,21139,1,50.0,50.0,0.37,0.047,0.005,-0,0,350.2,75,21.6,914.4,0,0.00,applied=0 spinning=False
16.431,121,NAV,15,18,0.6003,-0.3756,0.2330,-0.4807,-8.9,0.0000,0.0020,0.3821,16.0,24.9,35.0,2150,50,0.0,0.0,21204,1,18.0,18.0,0.30,0.023,0.001,-0,0,351.1,278,21.0,949.2,0,0.00,applied=90 spinning=False
16.945,130,OBSTACLE_START,15,18,0.6003,-0.3756,0.2335,-0.4807,-5.7,0.0057,0.0695,0.0000,0.0,0.0,0.0,1440,0,3.1,0.0,21210,1,39.0,39.0,6.98,0.001,0.000,-0,0,354.3,157,21.0,944.4,0,0.00,laser=157mm < 200mm
19.209,130,OBSTACLE_CLEAR,15,18,0.6003,-0.3756,0.2604,-0.4827,-21.4,0.0018,-1.0084,0.0000,0.0,0.0,0.0,1440,0,1.0,0.0,21285,1,0.0,0.0,-101.31,0.000,0.000,-0,0,338.7,-1,21.4,952.4,0,0.00,laser=-1mm
19.261,131,NAV,15,18,0.6003,-0.3756,0.2604,-0.4827,-21.4,0.0019,-1.0064,0.3564,17.5,38.9,35.0,2150,40,0.5,0.0,21285,1,0.0,0.0,-135.15,0.000,0.031,-0,0,322.5,-1,21.0,954.1,0,0.00,applied=45 spinning=False
19.788,141,NAV,15,18,0.6003,-0.3756,0.2606,-0.4829,-101.8,0.0002,-1.0784,0.3563,17.5,119.3,35.0,2150,40,0.0,0.0,21284,1,18.0,18.0,-122.63,-0.048,0.000,-0,-0,238.8,-1,21.2,959.5,0,0.00,applied=90 spinning=False
19.839,142,WP_BEHIND_SKIP,15,18,0.6003,-0.3756,0.2606,-0.4829,-120.5,0.0001,-1.2666,0.3563,17.5,138.0,0.0,1440,0,0.0,0.0,21284,1,18.0,18.0,-122.63,-0.048,0.000,-0,-0,238.8,-1,21.2,959.5,0,0.00,hdg_err=138_skip
19.839,142,WP_TIMEOUT,15,18,0.6003,-0.3756,0.2606,-0.4829,-120.5,0.0001,-1.2666,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,max_ticks=600 stuck=0
19.840,142,WP_START,16,18,0.3962,-0.1382,0.2606,-0.4829,-120.5,0.0001,-1.2666,0.3704,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,arrive_tol=0.200 final=False
19.840,143,WP_BEHIND_SKIP,16,18,0.3962,-0.1382,0.2606,-0.4829,-120.5,0.0001,-1.2666,0.3704,68.5,-171.0,0.0,1440,0,0.0,0.0,21284,1,18.0,18.0,-122.63,-0.048,0.000,-0,-0,238.8,-1,21.2,959.5,0,0.00,hdg_err=-171_skip
19.840,143,WP_TIMEOUT,16,18,0.3962,-0.1382,0.2606,-0.4829,-120.5,0.0001,-1.2666,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,max_ticks=600 stuck=0
19.840,143,WP_START,17,18,0.0908,-0.0305,0.2606,-0.4829,-120.5,0.0001,-1.2666,0.4832,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,arrive_tol=0.100 final=True
19.841,143,UTURN_START,17,18,0.0908,-0.0305,0.2606,-0.4829,-120.5,0.0001,-1.2666,0.0000,110.6,128.9,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,hdg_err=129 > 90
23.365,143,UTURN_DONE,17,18,0.0908,-0.0305,0.0510,-0.4583,114.0,0.2403,-0.8001,0.0000,110.6,3.4,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,uturn_ticks=53
23.366,144,NAV,17,18,0.0908,-0.0305,0.0510,-0.4583,114.0,0.2403,-0.8001,0.4296,84.7,-29.3,-35.0,940,50,121.5,0.0,22184,1,50.0,50.0,-105.44,0.004,0.008,0,-0,113.5,-1,21.2,952.8,0,0.00,applied=0 spinning=False
23.419,145,NAV,17,18,0.0908,-0.0305,0.0468,-0.4492,113.3,0.2391,-1.3250,0.4210,84.0,-29.3,-35.0,940,50,121.5,0.0,22184,1,50.0,50.0,-105.44,0.004,0.008,0,-0,113.5,-1,21.2,952.8,0,0.00,applied=50 spinning=True
23.481,146,NAV,17,18,0.0908,-0.0305,0.0400,-0.4326,100.9,0.2294,-1.3020,0.4053,82.8,-18.1,-32.5,940,50,114.8,0.0,22268,1,50.0,50.0,-101.37,0.047,0.266,0,-0,100.5,-1,21.0,970.1,0,0.00,applied=50 spinning=True
23.542,147,NAV,17,18,0.0908,-0.0305,0.0382,-0.4239,100.3,0.2266,-1.2719,0.3969,82.4,-18.0,-32.3,940,50,114.8,0.0,22268,1,50.0,50.0,-101.37,0.047,0.266,0,-0,100.5,-1,21.0,970.1,0,0.00,applied=50 spinning=True
23.593,148,NAV,17,18,0.0908,-0.0305,0.0366,-0.4158,100.3,0.2258,-1.2713,0.3890,82.0,-18.3,-33.0,940,50,103.7,0.0,22331,1,3.0,3.0,-76.76,-0.249,0.250,0,-0,87.8,-1,21.0,966.9,0,0.00,applied=50 spinning=True
23.936,154,NAV,17,18,0.0908,-0.0305,0.0451,-0.3576,67.1,0.1404,-0.3523,0.3303,82.0,15.0,26.9,2077,50,71.1,0.0,22420,1,15.0,15.0,-48.85,0.102,0.189,0,-0,67.1,-1,21.0,944.2,0,0.00,applied=50 spinning=True
24.504,164,NAV,17,18,0.0908,-0.0305,0.0707,-0.3064,74.2,0.1100,0.4176,0.2766,85.8,11.6,21.0,1935,50,55.7,0.0,22604,1,42.0,42.0,27.63,0.000,-0.107,0,-0,74.4,457,21.0,956.5,0,0.00,applied=50 spinning=True
25.067,174,NAV,17,18,0.0908,-0.0305,0.0761,-0.2380,102.0,0.1781,0.1255,0.2080,86.0,-16.0,-28.8,959,50,91.8,0.0,22862,1,50.0,50.0,31.56,0.266,0.130,0,-0,102.0,730,21.0,888.4,0,0.00,applied=50 spinning=True
25.625,184,NAV,17,18,0.0908,-0.0305,0.0536,-0.1412,90.9,0.1786,-0.6939,0.1168,71.4,-19.5,-35.0,940,50,90.4,0.0,23153,1,50.0,50.0,-48.85,0.129,0.062,0,-0,91.0,-1,21.0,949.2,0,0.00,applied=50 spinning=True
25.781,187,WP_ARRIVED,17,18,0.0908,-0.0305,0.0604,-0.1152,71.4,0.1779,-0.7875,0.0900,0.0,0.0,0.0,1440,0,90.6,0.0,23213,1,50.0,50.0,-78.11,0.283,0.032,0,-0,71.4,-1,21.2,948.2,0,0.00,ticks=43
25.792,187,ARRIVED_HOME,0,18,0.0000,0.0000,0.0604,-0.1152,71.4,0.1779,-0.7875,0.1300,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,"final_pos=(0.0604,-0.1152) dist_from_origin=0.1300m"
25.794,187,SHUTDOWN,0,18,0.0000,0.0000,0.0604,-0.1152,71.4,0.1779,-0.7875,0.0000,0.0,0.0,0.0,1440,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.000,0.000,0,0,0.0,0,0.0,0,0,0.00,status=arrived
